VRG,PUR,VID,TEX,RAN
60716.6553,165375.9393,38625.5691,40818.1054,97966.1869
60004.618,164279.7729,38573.3276,45886.6312,98346.1887
58976.4134,164963.8585,38629.1108,39745.811,100150.4538
60856.6425,166112.2177,38593.7729,37581.5163,100634.6599
59036.5564,164539.8397,38625.5371,34348.9407,102454.922
60220.9148,165135.7267,38585.485,35625.2456,98274.2196
57296.2747,163767.9823,38653.905,62237.1379,100342.6786
57848.5025,163843.8197,38581.6369,60004.7686,99162.4681
61717.0458,166100.1797,38597.9482,39941.8227,100382.6243
60572.7334,164675.9974,38589.5749,42198.2701,101006.8453
59688.7313,165243.9118,38669.6533,60132.5972,99670.5185
57716.3142,163503.7709,38589.7434,45094.5143,100714.5248
59332.584,164331.7924,38741.6448,43186.193,100702.6724
60460.6881,165348.0533,38585.6333,40565.5066,99666.5314
60636.8255,165248.0105,38649.4302,62401.0825,101046.6585
61872.9312,165011.9884,38589.7326,41130.1173,99798.5589
59308.4304,164371.818,38681.6407,48430.9683,101338.7691
61324.957,165443.986,38589.5107,43742.1357,101394.6468
61792.7226,166540.0949,38597.5062,56139.9911,98862.4236
58848.478,163955.7322,38573.563,47214.7778,98950.2006
57544.3849,163063.6041,38609.5336,65813.5685,101486.7043
60552.8587,165747.9795,38577.5076,65433.498,99922.5614
59160.5234,164107.8823,38601.3196,71266.2692,100246.6505
58756.6044,164223.767,38577.6235,59872.6159,99350.4479
59864.6065,165127.8552,38657.6299,54607.9789,98410.3901
58728.617,164003.724,38589.6651,43830.3939,99810.4084
58228.4478,164823.8614,38629.3381,70030.1329,101478.8744
61224.8848,165020.0767,38645.6845,63689.193,98770.4069
61836.9861,167360.4586,38633.7033,90261.2736,98990.5528
61168.871,165472.2827,38589.6815,83508.226,101054.7392
58484.5019,164303.9045,38669.6328,33564.9285,98322.0434
61392.9622,165992.3689,38653.7628,36669.5883,101266.9338
59376.7964,164251.9,38669.668,36729.3302,100006.6446
58996.5495,163768.1213,38581.7185,37085.4688,100726.6855
60756.9692,165308.3199,38637.6548,65209.5956,98674.4989
58840.6844,165444.1592,38589.699,97838.3406,100490.8987
60888.9305,167028.6564,38621.6435,68693.9782,102943.1618
59444.752,164820.2847,38589.7172,56700.4144,100390.5344
59104.6699,164116.0285,38657.6372,47002.8588,98994.6736
61245.1574,165600.4075,38589.5947,39665.9112,100066.7306
60717.1567,165508.3544,38613.7117,49811.4387,98302.5429
60876.9219,164632.1275,38589.7094,47082.8886,101990.8401
58816.707,165128.4419,38601.7257,58708.6648,101194.9017
58884.543,164752.2542,38585.7775,66465.7033,98666.623
59596.6327,164332.3662,38665.8063,46686.9312,98602.4451
56796.4253,163304.0849,38613.7687,30604.5921,99630.5996
57504.4435,163247.9992,38597.702,81863.9962,101818.9774
59596.7202,165516.6674,38569.8472,62429.0001,98770.6073
58424.5056,163335.9941,38681.6748,59800.4385,100502.6915
58764.6681,163912.093,38585.4564,68126.1288,98458.4703
59456.5261,164996.249,38633.5724,63513.4608,99330.9788
58272.3969,164984.1758,38589.6194,37161.3568,99742.6718
60904.9877,165716.4029,38621.666,57684.4852,101227.0876
58072.7029,164372.033,38573.6875,47794.9586,100158.79
61088.9877,165352.2227,38621.7999,49639.4964,98794.4119
57880.4915,163968.0172,38577.7252,55580.2384,101286.8149
62216.8938,165288.4345,38609.5522,38745.7312,101074.6921
60537.0164,165572.3354,38589.6782,52275.6954,99046.7518
60605.0087,166092.5308,38641.6331,52335.5716,99282.6221
59448.6711,165344.3166,38581.7162,56028.1896,99278.6502
61141.0506,165180.3314,38625.7441,38021.6547,99394.7913
62385.316,166260.4551,38577.8194,36873.5006,99258.5203
59256.7105,164028.1227,38645.6575,55848.2146,98534.4753
58580.3536,163924.2091,38585.7637,51739.5321,99906.776
58360.5675,163380.1834,38649.6691,40009.8615,100098.6784
59172.7476,164644.2534,38585.6068,52219.63,101242.7564
61828.9359,165964.9366,38665.5663,40706.0137,99426.5638
