,R1,R2,R3
S310,0.03838603897803385,,
S311,,,
S312,0.04832592059750017,,
S313,,,
S314,1.701437123725496,,
S315,0.030166865450332186,0.1371324171213835,
S316,,,
S317,0.21052200464166915,,
S318,,,
S319,0.05719532107616524,,
S320,0.02440867826734304,,
S321,0.04034607798853878,,0.018518340274995982
S322,0.04276339460939298,,
S323,0.05923470549524207,,
S324,0.07090049340325515,,
S325,0.48091344620198984,,0.43386270861473275
S326,0.5118805942123801,,
S327,0.2095390704522868,,
S328,0.22476415621977144,,
S329,0.025897530477563303,,
S330,0.01725693089166548,,
S331,0.024525667702355782,,
S332,0.01603312192124643,,
S333,0.35862123920480676,,0.01598560571437487
S334,0.03294433298434256,,
S335,0.05695026987045813,,
S336,0.011603701523745489,,
S337,,,
S338,,,
S339,0.02733563838814925,,0.021407452350740472
S340,0.11885490475939409,,
S341,0.027506177104956415,,
S342,0.03267694087622904,,
S343,0.8220874900659307,,
S344,0.3840986290830866,,
S345,0.014129192951815746,,0.012722626784915772
S346,0.014931347862958253,,
S347,0.024950787648626148,,
S348,0.11371239108277269,,0.16891271890824766
S349,0.025231863102969508,,
S350,0.12662716455434014,,
S351,,,
S352,0.0125671188001301,,
S353,0.028502577485319307,,
S354,0.06786506416063984,,
S355,0.018696895297971507,,0.04169075559983169
S356,1.0717684761942023,,
S357,0.013972459545546798,,
S358,0.012881715253166162,,0.012147571012653511
S359,,,
S360,0.023843055389800916,,
S361,1.3690432612603878,,
S362,0.019063773104151277,,0.06954448444258446
S363,0.02894713228764404,,
S364,0.016272130166647785,,
S365,0.03821703760230365,,
S366,,,
S367,,,
S368,0.04862422265072282,,
S369,0.015793551373373575,,
S370,0.026495567312176966,,0.023048821298003973
S371,0.030247509581963573,,
S372,,,
S373,0.021059546713869674,,
S374,0.2051806796804445,,
S375,0.020147126200219474,,
S376,0.04833920610055637,,0.21747833729471058
S377,0.1353571633649084,,0.02975936724955846
S378,0.02144007031322428,,
S379,,,
S380,0.023309012901460924,,
S381,0.01850121705416443,,
S382,0.06744580578130839,,
S383,0.014173370014888304,,
S384,0.04017811273174772,,
S385,0.029218229382732202,,
S386,0.01801037751557818,,
S387,0.02026311270854047,,0.08150061507272843
S388,0.016556457436092735,,
S389,0.012713825949677899,,
S390,0.0361644534340624,,
S391,0.3505231680939892,,
S392,,,
S393,0.470701234568821,,
S394,0.11909997835994857,,
S395,0.01735139934326934,,
S396,0.011077866421509989,,
S397,0.6633782747841075,,
S398,0.05900399202767268,,
S399,0.012440344474493558,,
S400,0.01684520124556303,,
S401,0.3017875212282456,,
S402,0.06230298836142063,,
S403,0.04918204031127357,,
S404,0.022986876945652233,,
S405,0.05174578300530713,,0.04813627469065259
S406,0.15889884982903074,,
S407,0.7145869330407868,,
S408,0.08997792201376031,,
S409,0.019325444079023053,,
S410,0.6042401549613557,,
S411,0.01889771810531433,,
S412,0.02723960350096192,,
S413,0.016546545043004096,,
S414,0.013261094214929612,,
S415,0.05919698458674778,,
S416,0.03430402148582216,,
S417,0.4999441393625815,,
S418,,,
S419,0.02989115861741528,,
S420,0.12467032561575206,,0.03778449129948994
S421,0.031226081981788584,,0.12311155866958638
S422,,,
S423,0.578315841173491,,
S424,1.0129225683593803,,0.02487798535308474
S425,0.03223569419254986,,
S426,0.06350595126847412,,
S427,0.03651638703680965,,
S428,0.015529895949785183,,
S429,0.022185969027227602,,
S430,0.01575619657185716,,
S431,0.023585663603548475,,
S432,0.14943606141698232,,
S433,0.14155263018024608,,0.025430398761917227
S434,0.017941166119035547,,
S435,0.021133045289193957,,
S436,0.19924434400819124,,
S437,0.10075214959986553,,
S438,1.5278728889587856,,0.16458771025338642
S439,0.7049107759302966,,
S440,0.02934882392881304,,
S441,0.026772201877675456,,0.05553761815424809
S442,0.1612112246712021,,
S443,0.3510117942325702,,
S444,0.02088029427537193,,
S445,0.010940959138739655,,
S446,0.31821099518632845,,
S447,0.08206005667853448,,
S448,0.16913638892941213,,
S449,0.08799468988823815,,
S450,0.011168789107782524,,0.0386158011167373
S451,0.013489515537554545,,
S452,0.021006193652449285,,
S453,0.11666507356255913,,
S454,0.2038717481398932,,
S455,0.3195526929655246,,
S456,,,
S457,,,
S458,0.024401123618784534,,0.014999018647712498
S459,,,
S460,0.06869170232454375,,
S461,0.01962142837521157,,
S462,,,
S463,0.022563287872246807,,
S464,0.2963785777493048,,
S465,0.013904817526414977,,
